 Fx_Air  , Fx_L1   , Fx_L2   , Fx_R1   , Fx_R2   , Fy_Air  , Fy_L1   , Fy_L2   , Fy_R1   , Fy_R2   , Fz_Air  , Fz_L1   , Fz_L2   , Fz_R1   , Fz_R2   , Roll    , Roll_L1 , Roll_L2 , Roll_R1 , Roll_R2 , Yaw     , Yaw_L1  , Yaw_L2  , Yaw_R1  , Yaw_R2  
-342.6892788,-56.29757869,1431.770122,-56.08451821,1429.979262,-0.391626004,56.5775793,-316.4673366,-205.0228488,204.3908362,205.6134012,2252.129668,2976.002374,2187.326782,2904.110298,-0.024952816,0.815218317,1.695434181,-0.871730294,-1.702673187,-80.28932118,-80.18014732,-80.53857994,-80.55249262,-80.04388743
-343.7322466,-55.24217753,1376.73597,-54.96432245,1375.253434,-0.416263112,50.55626162,-304.5517666,-206.5651495,189.6835129,206.2391608,2205.716052,2873.644615,2139.593783,2799.021462,-0.026139485,0.79627937,1.680961233,-0.855062439,-1.688739691,-80.30155606,-80.19848821,-80.54809837,-80.56945758,-80.05925414
-344.6495322,-53.24763449,1125.579925,-52.93969035,1125.610133,-0.444565196,44.96132649,-291.1068548,-209.017619,172.9103062,206.7895065,2184.454961,2769.576898,2116.572503,2692.930654,-0.027247524,0.778361945,1.659150202,-0.839577149,-1.66725517,-80.31455187,-80.21688747,-80.55748561,-80.58616752,-80.07641828
-345.3049652,-84.98453016,819.638768,-85.90829319,820.3561905,-0.476515073,39.19417906,-280.026878,-212.5967191,156.4733453,207.1827351,2200.868605,2677.502735,2130.294775,2599.037247,-0.028437063,0.763562386,1.63192934,-0.827835968,-1.640060288,-80.32840225,-80.234426,-80.56612046,-80.60194863,-80.09607415
-345.6409648,-206.431213,536.8743277,-207.9174928,538.3868293,-0.511989849,35.36503476,-273.8722073,-214.9136613,141.2435705,207.3842975,2260.913091,2600.465817,2186.564622,2518.955706,-0.029886259,0.753740499,1.601839685,-0.821166596,-1.609858646,-80.34317102,-80.25115082,-80.57431619,-80.61713898,-80.11811906
-345.573996,-481.7085524,271.7141883,-477.0195938,276.7508863,-0.548861362,32.53039322,-270.8071281,-219.8602233,127.4307122,207.3440742,2364.304267,2530.540563,2285.350298,2444.251459,-0.031679936,0.74955552,1.57127548,-0.820698018,-1.578789123,-80.35867901,-80.26968572,-80.5821521,-80.63456558,-80.14190948
-344.9507969,-962.1478993,-6.363598156,-952.5657918,1.852610487,-0.582255512,28.68318064,-266.2668289,-235.8471373,120.4585899,206.9701136,2514.550174,2452.595908,2429.922326,2360.196931,-0.033855314,0.750403708,1.538258036,-0.826830518,-1.54810098,-80.37462206,-80.28879858,-80.58984599,-80.65514801,-80.16669653
-343.5893021,-1571.481965,-297.1386462,-1546.552357,-283.0118325,-0.613692897,27.96202633,-240.01115,-252.081405,93.49557254,206.1531747,2713.616586,2346.990783,2623.427857,2248.653066,-0.03626267,0.757020765,1.496360062,-0.83857092,-1.509277809,-80.39121559,-80.30423971,-80.59707105,-80.67309036,-80.19330725
-341.4008532,-2329.179056,-607.5620344,-2293.488849,-594.2290237,-0.651658598,27.95455717,-212.2944578,-258.2530586,73.35568945,204.8400506,2950.289169,2200.068745,2856.975228,2097.712502,-0.03854145,0.769898282,1.449974441,-0.854502506,-1.467452951,-80.40880752,-80.31627,-80.60324899,-80.68916488,-80.22277715
-338.3453564,-2965.759697,-930.490771,-2900.540823,-912.8541522,-0.700346531,-11.21829586,-188.7032632,-272.0611798,51.68036524,203.0066763,3206.253835,2018.171715,3105.634563,1913.337162,-0.04075961,0.789244932,1.398198337,-0.874143238,-1.418430447,-80.42783205,-80.43289638,-80.60781605,-80.80796874,-80.25679
-334.5931457,-3461.867658,-1143.276204,-3321.102282,-1096.427814,-0.723419982,-221.4868465,-158.1432907,-419.6488095,28.66707692,200.7553076,3476.293423,1835.735857,3314.724212,1699.878104,-0.049742473,0.803008854,1.331625442,-0.90841456,-1.367732265,-80.44993141,-80.95148828,-80.61118087,-81.33054726,-80.2985574
-330.3823049,-3815.649203,-1382.964322,-3496.313218,-1219.992091,-0.696410524,-645.0816699,-130.7669586,-731.6922903,7.215614406,198.2288387,3756.353838,1708.627419,3442.010504,1456.807794,-0.080980132,0.796922337,1.240593116,-0.962125686,-1.330836437,-80.48295657,-82.08371884,-80.62329431,-82.49023566,-80.35578357
