Time, Alpha_L1, Alpha_L2, Alpha_R1, Alpha_R2, CamberL1, CamberR1, Fx_Air  , Fx_L1   , Fx_L2   , Fx_R1   , Fx_R2   , Fy_Air  , Fy_L1   , Fy_L2   , Fy_R1   , Fy_R2   , Fz_Air  , Fz_L1   , Fz_L2   , Fz_R1   , Fz_R2   , MuX_L1  , MuX_L2  , MuX_R1  , MuX_R2  , MuY_L1  , MuY_L2  , MuY_R1  , MuY_R2  , Steer_SW
        7.775, -0.348193311824, 0.0396747753346, 0.519297595322, 0.047996708094, -2.52575436491, -3.3318766373, -454.386725463, 1682.86505359, -39.4699661272, 1682.09515777, -38.6583835023, -0.404410596801, 355.962116797, -43.1007819461, -522.670371446, -46.4122729599, 272.631901621, 4085.75488785, 3427.45681045, 3991.23852025, 3329.55421769,             1,             1,             1,             1,             1,             1,             1,             1, -10.4092816465
          7.8, -0.345597696226, 0.0418980331121, 0.523498640036, 0.0502086799914, -2.52662397044, -3.3317766749, -455.655004185, 1680.81454328, -39.4934532951, 1679.98031594, -38.6478881462, -0.424023003072, 353.199942493, -45.2831583367, -527.068848289, -48.4682204356, 273.392855993, 4085.64278426, 3431.01266926, 3986.71251441, 3328.55364462,             1,             1,             1,             1,             1,             1,             1,             1, -10.4641943028
        7.825, -0.341483352006, 0.044513920097, 0.527620635192, 0.0525231437476, -2.52738117133, -3.33135243935, -456.922621544, 1678.23413482, -39.4775179251, 1677.29901105, -38.716809218, -0.444701217699, 346.701048054, -47.9066385595, -528.008756343, -50.898592337, 274.153412225, 4056.29248336, 3451.03857603, 3952.48663271, 3345.78058678,             1,             1,             1,             1,             1,             1,             1,             1, -10.5278986519
         7.85, -0.335845404213, 0.0477481142932, 0.531703320099, 0.0548379870309, -2.52783103228, -3.33035347257, -458.189439887,  1675.3832939,  -39.56490701, 1674.34065056, -38.7868167539, -0.465829738998,  336.26904942, -51.5537435003, -525.323663428, -53.6142142692, 274.913488095, 3999.23095575, 3489.10081584, 3889.79255516,  3379.4474932,             1,             1,             1,             1,             1,             1,             1,             1, -10.6013714985
        7.875, -0.328421960141, 0.0499130680072, 0.535690484698, 0.0571798964818, -2.52789412129, -3.32863020138, -459.455884315, 1672.42867385, -39.6187660117, 1671.32850873, -38.6141475833, -0.487246076898,  321.95716568, -54.4143906689, -519.393828904, -55.881455073, 275.673338753, 3917.64707801, 3494.97708854, 3802.49247984, 3380.19820774,             1,             1,             1,             1,             1,             1,             1,             1, -10.6868538771
          7.9, -0.319466283796, 0.0508992122666, 0.53923577343, 0.0597372998361, -2.52743260938, -3.32611918143, -460.723014961, 1669.78010791, -39.4356071431, 1668.70052856, -38.1880150474, -0.50971214481, 304.496873429, -55.3647775654, -510.899075443, -57.5681591719, 276.433599632, 3817.81563096, 3454.85262807, 3697.88106303, 3334.88672836,             1,             1,             1,             1,             1,             1,             1,             1, -10.7809134348
        7.925, -0.309802320688, 0.0516319897134, 0.542338977541, 0.0627227202134, -2.52632632958, -3.32284650956, -461.992757756, 1668.64348621, -39.0219868707, 1667.65049043, -37.6126206421, -0.53470897846, 286.242639915, -54.9619155895, -502.150255899, -58.9511691484, 277.195424921, 3720.33251666,  3378.4960779, 3597.10465089, 3253.42668341,             1,             1,             1,             1,             1,             1,             1,             1, -10.8770282269
         7.95, -0.300524519685, 0.0530331391931, 0.545270113692, 0.0662709211199, -2.52464386789, -3.31907752247, -463.26707639, 1668.62353493, -38.4911552105, 1667.71424275, -37.0183010171, -0.563837373324, 269.488488041, -54.3842035696, -495.04080058, -60.349490732, 277.959991112,  3639.1472747, 3283.33098966, 3513.21854075,  3153.9066892,             1,             1,             1,             1,             1,             1,             1,             1, -10.9673273691
        7.975, -0.292100594727, 0.055629163891, 0.548109750004, 0.0704307575745, -2.52258987505, -3.31515733754, -464.54729365, 1669.44147271, -37.9569747701, 1668.60098371, -36.4848216923, -0.598503309015, 255.224569834, -54.5613611236, -490.146880973, -62.0160763927, 278.728090001, 3577.21119134, 3186.75333709, 3448.58142502, 3054.00343782,             1,             1,             1,             1,             1,             1,             1,             1, -11.0468773713
            8, -0.284670194498, 0.0598272857616, 0.551336016726, 0.0751430937508, -2.52041639233, -3.31132856462, -465.834044947, 1670.73240568, -37.5084770771, 1668.26523818, -36.1365939412, -0.639466078934, 243.572169792, -56.1336762663, -487.460956995, -64.4726717032, 279.500101201, 3534.63514352, 3111.76243473, 3402.95427806, 2976.83429111,             1,             1,             1,             1,             1,             1,             1,             1, -11.1125734758
        8.025, -0.278991422391, 0.0658425970749, 0.554191309867, 0.0802310901005, -2.51822934944, -3.30799764245, -467.126123517, 1663.56420342, -37.2023306871,  1663.6495685, -36.0110631283, -0.686589305965, 234.827785814, -59.966889726, -486.715223037, -68.0483343448, 280.275299646, 3510.74590499, 3077.73516139,  3375.0861827,  2940.2522971,             1,             1,             1,             1,             1,             1,             1,             1, -11.1655359778
         8.05, -0.273190601532, 0.0728620014601, 0.558553986126, 0.0853366934803, -2.51656192737, -3.30505521776, -468.392203382, 1575.82602999, -36.3898517809, 1575.79131552, -35.3104141219, -0.738038394266, 228.212828464, -65.7029149131, -489.492263509, -72.4338583655,  281.03489057, 3504.86979382, 3079.41961155, 3364.43514069, 2937.68273637,             1,             1,             1,             1,             1,             1,             1,             1, -11.2193142606
        8.075, -0.269294794505, 0.0797649938262,  0.5626260262, 0.0904153521993, -2.51532910132, -3.30304985458, -469.472631503, 1248.96483214, -36.3406617381, 1249.92802389, -35.1711568877, -0.791978870937, 222.961443323, -72.0969561329, -493.110312292, -77.0332662525, 281.683083285, 3522.74172782, 3092.72185058, 3376.46663293, 2944.14490971,             1,             1,             1,             1,             1,             1,             1,             1, -11.2640634618
          8.1, -0.263988640579, 0.0857356473477, 0.569648742158, 0.0954361472493, -2.51540105509, -3.30174659546, -470.213480859, 857.075012187, -56.7786372367, 858.552299239, -55.2405899943, -0.847734638275,  218.97296043, -78.0533032032, -496.229138115, -81.4715393592, 282.127521637,  3576.7027255, 3082.59183605, 3424.29888101, 2925.61446804,             1,             1,             1,             1,             1,             1,             1,             1, -11.3219992283
        8.125, -0.258654664616, 0.0903508719696, 0.578261171084, 0.100341538255, -2.51689538713, -3.30165100723, -470.548502241, 427.286532744, -118.90791958, 430.665568294, -116.709374961, -0.903580446565, 213.044825332, -82.9483454492, -502.619086531, -85.7644312901, 282.328457873,  3671.0466144, 3030.13951838, 3512.55470061, 2866.05354755,             1,             1,             1,             1,             1,             1,             1,             1, -11.3952083188
         8.15, -0.16148582034, 0.0932943865497, 0.682834260605, 0.10441614088, -2.5331989939, -3.2894761465, -470.384041757, -69.3705327017, -244.678592545, -60.6188649837, -241.187610725, -0.949448392302, 161.878179377, -85.4099975731, -564.657004457, -88.7246042075, 282.229714437, 3796.62772211, 2938.12740365, 3642.94202445, 2769.15936283,             1,             1,             1,             1,             1,             1,             1,             1, -13.2275120048
        8.175, 0.26720795563, 0.0923278833536, 1.13328199422, 0.104255373612, -2.6089170099, -3.21825633674, -469.567752845, -684.213541677, -450.610117114, -672.593689461, -441.574299167, -0.90155664611, -161.283939378, -83.6507846126, -965.572196166,  -87.09914053, 281.740009777, 3940.77594628, 2828.58287925, 3820.03032243, 2633.37266566,             1,             1,             1,             1,             1,             1,             1,             1, -21.8669045216
          8.2, 1.04526809012, 0.0892086296654, 1.96952386277, 0.100005998432, -2.75515940705, -3.06918010245, -467.920081985, -1407.66223227, -740.205980261, -1339.70708603, -711.201757582, -0.610737438221, -968.124513904, -78.1398893308, -1848.03733232, -77.1714402584, 280.751753336, 4114.66893813, 2748.40654803, 4025.12186029, 2413.55554979,             1,             1,             1,             1,             1,             1,             1,             1, -39.2112019773
        8.225, 2.03828489385, 0.10273220499, 3.07858974307, 0.108952306728, -2.95565142104, -2.84712320848, -465.323056863, -2122.65894455, -1099.93559261, -2026.10056744, -1015.18159972, -0.0858750135658, -2164.54606791, -80.9890213697, -2915.22640714, -65.5308506756, 279.193828227, 4330.66028904, 2764.08094343, 4215.82834935, 2036.48913436,             1,             1,             1,             1,             1,             1,             1,             1, -61.494141271
         8.25, 3.31239323467, 0.171365459577, 4.55455517243, 0.169890581872, -3.20118026601, -2.54600360979, -461.768947804, -2757.6703649, -1489.73804162, -2610.23287993, -1158.89364317, 0.198266491862, -3185.94966525, -123.448061804, -3201.24001641, -61.8711952745, 277.061337052,  4612.5776482, 2913.15326007, 4304.51777106, 1484.54539358,             1,             1,             1,             1,             1,             1,             1,             1, -87.3315190922
        8.275, 4.91693985815, 0.318678676023, 6.45577584839, 0.309327748218, -3.47235011743, -2.16493170215, -457.482267113, -3376.64528369, -1823.01395299, -2999.49973046, -863.682474725, -0.360235790946, -3572.02192241, -240.435621589, -2910.82077888, -45.2531156668, 274.489254919, 5081.05432008, 3135.81477416, 4296.63454308,   879.9574729,             1,             1,             1,             1,             1,             1,             1,             1, -117.270242171
          8.3, 6.69529751549, 0.528344779819, 8.59892922654, 0.51435364852, -3.73694098543, -1.74341885313, -452.814497683, -4007.43606249, -2138.50818363, -2961.65703114, -360.297728397, -1.8117026721, -3756.24381779, -430.943643376, -2848.60956961, -15.7916925595, 271.686017596, 5735.76689864, 3315.79839836, 4302.60220506, 364.051586073,             1,             1,             1,             1,             1,             1,             1,             1, -147.270242171
        8.325, 8.29827156797, 0.753778213851, 10.6259118149,             0, -3.95432929687, -1.3503104347, -448.040998221, -4292.23577217, -2421.62416211, -2349.30864473,             0, -3.65711496148, -4171.62160725, -660.218299433, -3420.85940384,             0, 268.813616594,  6359.7049342, 3457.67920895, 4373.12274295,             0,             1,             1,             1,             1,             1,             1,             1,             1, -177.270242171
         8.35, 9.40201223619, 0.990399206192, 11.9299313257,             0, -4.11257746991, -1.03964061643, -443.509055877, -3388.00024329, -2666.51086585, -1840.74366383,             0, -5.36841282587, -5353.87822053, -930.143522585, -3732.54543194,             0, 266.081646808, 6730.97588796, 3678.60881883, 4403.62392591,             0,             1,             1,             1,             1,             1,             1,             1,             1, -195.760120568
